#name	status	length	unknown percent	pvalue brute	pvalue corrected	number of convergent sites	convergent sites
HSD17B4	 	159	0.00e+00	1.2430e-04	2.2488e-02	2	22, 64
SLC35A1	 	168	0.00e+00	1.3874e-04	2.4402e-02	2	23, 110
CNPPD1	 	170	0.00e+00	1.4205e-04	2.4310e-02	2	142, 146
LAMA3	 	993	0.00e+00	1.5108e-04	2.5175e-02	3	163, 227, 321
FBXO7	 	186	0.00e+00	1.6995e-04	2.7594e-02	2	143, 173
VIM	*	187	0.00e+00	1.7178e-04	2.7193e-02	2	17, 86
VWA8	 	1056	0.00e+00	1.8088e-04	2.7935e-02	3	546, 602, 769
WDFY3	*	2782	0.00e+00	1.9962e-04	3.0096e-02	4	517, 1956, 2262, 2669
C11orf54	 	210	0.00e+00	2.1643e-04	3.1871e-02	2	125, 133
EFEMP2	 	212	0.00e+00	2.2055e-04	3.1740e-02	2	5, 61
PC	*	227	0.00e+00	2.5269e-04	3.5557e-02	2	93, 128
TMX3	 	229	0.00e+00	2.5714e-04	3.5396e-02	2	116, 222
ADGRV1	*	3046	0.00e+00	2.8100e-04	3.7857e-02	4	62, 1878, 2387, 2533
RIPK2	 	254	0.00e+00	3.1596e-04	4.1681e-02	2	152, 247
TOP2B	 	1286	0.00e+00	3.2129e-04	4.1519e-02	3	101, 1076, 1277
ARHGAP42	 	265	0.00e+00	3.4373e-04	4.3530e-02	2	6, 234
DCAF10	 	270	0.00e+00	3.5673e-04	4.4290e-02	2	232, 233
HMGXB3	 	273	0.00e+00	3.6464e-04	4.4402e-02	2	17, 164
TRPM7	 	1344	0.00e+00	3.6521e-04	4.3632e-02	3	726, 802, 1052
ORC2	 	282	0.00e+00	3.8889e-04	4.5601e-02	2	21, 159
BEND4	*	293	0.00e+00	4.1957e-04	4.8304e-02	2	114, 288
RIOK2	 	293	0.00e+00	4.1957e-04	4.7441e-02	2	171, 214
RGS6	*	296	0.00e+00	4.2814e-04	4.7561e-02	2	13, 131
AMPH	 	297	0.00e+00	4.3101e-04	4.7054e-02	2	237, 245
NUAK1	 	312	0.00e+00	4.7525e-04	5.1005e-02	2	93, 190
PCK1	 	312	0.00e+00	4.7525e-04	5.0155e-02	2	51, 120
CHRNA1	 	312	0.00e+00	4.7525e-04	4.9332e-02	2	53, 253
ALDH1A2	*	322	0.00e+00	5.0592e-04	5.1669e-02	2	18, 81
LRCH3	 	326	0.00e+00	5.1844e-04	5.2108e-02	2	103, 212
MTM1	 	353	0.00e+00	6.0693e-04	6.0048e-02	2	14, 208
BUB1	 	358	0.00e+00	6.2406e-04	6.0793e-02	2	171, 337
PIKFYVE	 	1629	0.00e+00	6.3689e-04	6.1103e-02	3	18, 1281, 1396
ATP5B	 	372	0.00e+00	6.7327e-04	6.3629e-02	2	67, 258
TENM1	 	1700	0.00e+00	7.2009e-04	6.7053e-02	3	444, 675, 1606
TPR	 	1701	0.00e+00	7.2131e-04	6.6193e-02	3	589, 799, 836
WDR26	 	388	0.00e+00	7.3174e-04	6.6191e-02	2	103, 115
PPFIBP2	 	390	0.00e+00	7.3921e-04	6.5925e-02	2	155, 203
ZBTB40	 	390	0.00e+00	7.3921e-04	6.5009e-02	2	55, 142
TDRKH	 	396	0.00e+00	7.6186e-04	6.6083e-02	2	163, 359
ADCY2	 	402	0.00e+00	7.8483e-04	6.7156e-02	2	339, 340
RAPGEF2	 	402	0.00e+00	7.8483e-04	6.6261e-02	2	377, 389
CLCN4	 	404	0.00e+00	7.9257e-04	6.6033e-02	2	144, 163
RPRD2	 	404	0.00e+00	7.9257e-04	6.5176e-02	2	253, 254
LRCH1	 	411	0.00e+00	8.1992e-04	6.6561e-02	2	339, 355
KEAP1	 	415	0.00e+00	8.3576e-04	6.6988e-02	2	1, 353
EIF2B5	 	418	0.00e+00	8.4773e-04	6.7098e-02	2	180, 394
DYM	 	420	0.00e+00	8.5576e-04	6.6897e-02	2	106, 402
GPCPD1	 	426	0.00e+00	8.8006e-04	6.7958e-02	2	58, 255
ZNF521	 	431	0.00e+00	9.0057e-04	6.8704e-02	2	348, 416
DLG1	 	431	0.00e+00	9.0057e-04	6.7886e-02	2	158, 159
PDCD6IP	 	431	0.00e+00	9.0057e-04	6.7087e-02	2	192, 331
BRIP1	 	438	0.00e+00	9.2966e-04	6.8449e-02	2	234, 346
SLC23A1	 	441	0.00e+00	9.4227e-04	6.8580e-02	2	111, 205
AGFG1	 	444	0.00e+00	9.5495e-04	6.8713e-02	2	269, 434
ARHGEF6	*	444	0.00e+00	9.5495e-04	6.7941e-02	2	186, 296
ESRP1	 	454	0.00e+00	9.9784e-04	7.0204e-02	2	35, 196
KL	 	471	0.00e+00	1.0728e-03	7.4651e-02	2	261, 268
PAPOLG	 	474	0.00e+00	1.0864e-03	7.4769e-02	2	329, 458
CBL	 	476	0.00e+00	1.0954e-03	7.4582e-02	2	419, 432
PTPDC1	*	476	0.00e+00	1.0954e-03	7.3788e-02	2	326, 467
KDM2A	 	490	0.00e+00	1.1598e-03	7.7302e-02	2	125, 252
FLT1	 	492	0.00e+00	1.1691e-03	7.7113e-02	2	152, 172
SMURF2	*	503	0.00e+00	1.2211e-03	7.9714e-02	2	146, 441
BBS2	 	504	0.00e+00	1.2259e-03	7.9210e-02	2	261, 370
TMEM131	 	505	0.00e+00	1.2307e-03	7.8716e-02	2	231, 261
REV3L	*	2091	0.00e+00	1.3021e-03	8.2447e-02	3	238, 527, 954
ZNF800	 	529	0.00e+00	1.3484e-03	8.4538e-02	2	16, 72
APPL1	 	535	0.00e+00	1.3787e-03	8.5587e-02	2	268, 420
RXFP1	 	548	0.00e+00	1.4453e-03	8.8852e-02	2	326, 458
AMPD1	*	561	0.00e+00	1.5135e-03	9.2147e-02	2	331, 389
PPP2R3A	 	566	0.00e+00	1.5401e-03	9.2874e-02	2	133, 265
TNRC6A	 	568	0.00e+00	1.5508e-03	9.2638e-02	2	208, 364
INTS4	 	572	0.00e+00	1.5723e-03	9.3045e-02	2	350, 557
HMGCR	 	581	0.00e+00	1.6213e-03	9.5053e-02	2	460, 556
TOP1	 	587	0.00e+00	1.6543e-03	9.6100e-02	2	225, 550
PMS1	 	589	0.00e+00	1.6654e-03	9.5864e-02	2	281, 384
CCP110	 	591	0.00e+00	1.6765e-03	9.5635e-02	2	265, 347
ARNT	 	613	0.00e+00	1.8011e-03	1.0183e-01	2	402, 416
NCAPG	 	615	0.00e+00	1.8126e-03	1.0157e-01	2	103, 610
FLT3	 	640	0.00e+00	1.9599e-03	1.0886e-01	2	112, 114
MARVELD3	 	20	0.00e+00	1.9981e-03	1.1002e-01	1	7
EPHA3	 	648	0.00e+00	2.0081e-03	1.0962e-01	2	1, 22
CDH20	 	653	0.00e+00	2.0386e-03	1.1033e-01	2	22, 413
PDPN	 	21	0.00e+00	2.0979e-03	1.1258e-01	1	18
NCKAP1	 	664	0.00e+00	2.1064e-03	1.1208e-01	2	48, 366
PPIP5K1	 	666	0.00e+00	2.1188e-03	1.1180e-01	2	435, 624
DNAH5	 	2500	0.00e+00	2.1594e-03	1.1300e-01	3	1184, 1836, 2437
USP8	 	673	0.00e+00	2.1626e-03	1.1224e-01	2	177, 329
BCAP29	 	22	0.00e+00	2.1977e-03	1.1314e-01	1	5
FAM214A	 	685	0.00e+00	2.2387e-03	1.1432e-01	2	294, 621
PROX1	 	688	0.00e+00	2.2579e-03	1.1438e-01	2	317, 410
TTC17	 	697	0.00e+00	2.3160e-03	1.1639e-01	2	83, 354
PPIP5K2	 	708	0.00e+00	2.3880e-03	1.1906e-01	2	12, 145
OPALIN	 	24	0.00e+00	2.3972e-03	1.1859e-01	1	22
MYO1E	 	710	0.00e+00	2.4012e-03	1.1787e-01	2	201, 280
MAP3K5	 	710	0.00e+00	2.4012e-03	1.1696e-01	2	602, 626
TRPC6	 	720	0.00e+00	2.4678e-03	1.1928e-01	2	13, 661
TMF1	 	744	0.00e+00	2.6310e-03	1.2621e-01	2	61, 434
EDRF1	*	755	0.00e+00	2.7074e-03	1.2890e-01	2	337, 745
MAGI1	*	762	0.00e+00	2.7566e-03	1.3026e-01	2	19, 460
SLK	*	774	0.00e+00	2.8419e-03	1.3330e-01	2	372, 401
COPB1	 	778	0.00e+00	2.8706e-03	1.3365e-01	2	737, 738
PLCB4	 	782	0.00e+00	2.8995e-03	1.3401e-01	2	22, 781
TAOK3	 	795	0.00e+00	2.9941e-03	1.3738e-01	2	1, 334
PUM2	 	830	0.00e+00	3.2562e-03	1.4833e-01	2	234, 459
FNIP1	 	851	0.00e+00	3.4184e-03	1.5461e-01	2	296, 488
CACNA1E	 	853	0.00e+00	3.4340e-03	1.5422e-01	2	733, 756
C22orf39	 	35	0.00e+00	3.4941e-03	1.5581e-01	1	9
PIK3CB	 	862	0.00e+00	3.5049e-03	1.5519e-01	2	18, 214
TRPM3	 	876	0.00e+00	3.6163e-03	1.5902e-01	2	68, 311
ADGRL2	 	882	0.00e+00	3.6646e-03	1.6003e-01	2	847, 872
CTR9	 	915	0.00e+00	3.9355e-03	1.7068e-01	2	830, 891
ATRNL1	 	916	0.00e+00	3.9439e-03	1.6988e-01	2	116, 591
CFTR	 	919	0.00e+00	3.9690e-03	1.6981e-01	2	627, 896
EXOSC5	 	40	0.00e+00	3.9922e-03	1.6966e-01	1	34
PTPN13	 	931	0.00e+00	4.0701e-03	1.7181e-01	2	2, 429
ATRN	*	942	0.00e+00	4.1639e-03	1.7461e-01	2	55, 581
TNKS2	 	944	0.00e+00	4.1811e-03	1.7417e-01	2	35, 554
RIF1	 	945	0.00e+00	4.1897e-03	1.7339e-01	2	412, 425
TNIP2	 	44	0.00e+00	4.3906e-03	1.8053e-01	1	2
MMP25	 	44	0.00e+00	4.3906e-03	1.7936e-01	1	29
MAP3K4	 	980	0.00e+00	4.4955e-03	1.8247e-01	2	338, 802
MRAS	 	46	0.00e+00	4.5897e-03	1.8511e-01	1	27
MCMBP	 	46	0.00e+00	4.5897e-03	1.8394e-01	1	3
RC3H2	 	999	0.00e+00	4.6657e-03	1.8581e-01	2	530, 853
SOS1	 	1023	0.00e+00	4.8850e-03	1.9332e-01	2	182, 893
STEAP3	 	49	0.00e+00	4.8883e-03	1.9225e-01	1	10
LAMA1	 	1047	0.00e+00	5.1089e-03	1.9969e-01	2	475, 863
POLA1	 	1049	0.00e+00	5.1277e-03	1.9919e-01	2	134, 964
MED23	 	1066	0.00e+00	5.2894e-03	2.0422e-01	2	753, 1009
EPRS	 	1072	0.00e+00	5.3470e-03	2.0520e-01	2	530, 686
PBRM1	*	1086	0.00e+00	5.4826e-03	2.0913e-01	2	189, 1018
GAPVD1	 	1100	0.00e+00	5.6197e-03	2.1308e-01	2	709, 884
FAM20A	 	58	0.00e+00	5.7835e-03	2.1798e-01	1	18
UGGT1	 	1179	0.00e+00	6.4227e-03	2.4064e-01	2	136, 360
PREX2	 	1197	0.00e+00	6.6125e-03	2.4630e-01	2	773, 836
LRP6	 	1198	0.00e+00	6.6232e-03	2.4525e-01	2	936, 1069
CCDC88A	 	1203	0.00e+00	6.6764e-03	2.4578e-01	2	1026, 1111
AQP3	 	70	0.00e+00	6.9759e-03	2.5533e-01	1	2
RLF	 	1254	0.00e+00	7.2303e-03	2.6312e-01	2	336, 1121
DOCK3	 	1255	0.00e+00	7.2414e-03	2.6201e-01	2	716, 1041
BRCA2	 	1258	0.00e+00	7.2746e-03	2.6172e-01	2	724, 1041
AMTN	 	77	0.00e+00	7.6708e-03	2.7442e-01	1	67
ATG2B	*	1342	0.00e+00	8.2332e-03	2.9288e-01	2	1045, 1295
DSP	 	1343	0.00e+00	8.2450e-03	2.9166e-01	2	336, 869
NUP205	 	1399	0.00e+00	8.9142e-03	3.1358e-01	2	371, 1246
EML5	 	1419	0.00e+00	9.1589e-03	3.2041e-01	2	395, 1217
ALKBH1	 	94	0.00e+00	9.3564e-03	3.2552e-01	1	68
HEATR5B	*	1450	0.00e+00	9.5441e-03	3.3024e-01	2	1012, 1163
FRYL	 	1456	0.00e+00	9.6195e-03	3.3104e-01	2	1074, 1330
SCN1A	 	1465	0.00e+00	9.7330e-03	3.3313e-01	2	818, 1036
SPTAN1	*	1478	0.00e+00	9.8981e-03	3.3696e-01	2	359, 620
CFAP36	 	103	0.00e+00	1.0248e-02	3.4700e-01	1	44
HCLS1	 	107	0.00e+00	1.0643e-02	3.5848e-01	1	98
CMSS1	 	109	0.00e+00	1.0841e-02	3.6321e-01	1	38
SSBP1	 	114	0.00e+00	1.1336e-02	3.7778e-01	1	1
TLN2	 	1588	0.00e+00	1.1344e-02	3.7609e-01	2	752, 1061
SMG1	 	1620	0.00e+00	1.1782e-02	3.8855e-01	2	1234, 1352
MASP2	 	120	0.00e+00	1.1929e-02	3.9137e-01	1	0
HACD2	 	120	0.00e+00	1.1929e-02	3.8935e-01	1	109
AMOTL2	 	126	0.00e+00	1.2522e-02	4.0660e-01	1	79
FAT2	 	1703	0.00e+00	1.2949e-02	4.1834e-01	2	140, 1355
LDB3	 	132	0.00e+00	1.3114e-02	4.2151e-01	1	76
STARD7	 	135	0.00e+00	1.3410e-02	4.2885e-01	1	67
DHCR24	 	140	0.00e+00	1.3903e-02	4.4239e-01	1	91
SLC25A23	 	142	0.00e+00	1.4100e-02	4.4642e-01	1	112
BLVRA	 	146	0.00e+00	1.4495e-02	4.5662e-01	1	76
NSUN4	 	150	0.00e+00	1.4889e-02	4.6671e-01	1	63
C10orf90	 	152	0.00e+00	1.5086e-02	4.7056e-01	1	140
DCK	 	153	0.00e+00	1.5184e-02	4.7131e-01	1	0
PRCP	 	154	0.00e+00	1.5283e-02	4.7205e-01	1	117
BACE2	 	154	0.00e+00	1.5283e-02	4.6976e-01	1	14
NSMCE4A	 	158	0.00e+00	1.5677e-02	4.7954e-01	1	152
ACADM	 	164	0.00e+00	1.6267e-02	4.9521e-01	1	75
WDR78	 	164	0.00e+00	1.6267e-02	4.9284e-01	1	152
ELOVL4	 	165	0.00e+00	1.6365e-02	4.9346e-01	1	43
ANXA5	 	169	0.00e+00	1.6759e-02	5.0292e-01	1	154
ARG1	 	170	0.00e+00	1.6857e-02	5.0349e-01	1	10
RNF13	 	172	0.00e+00	1.7054e-02	5.0697e-01	1	109
PLEKHA2	 	172	0.00e+00	1.7054e-02	5.0460e-01	1	145
METTL6	 	172	0.00e+00	1.7054e-02	5.0225e-01	1	90
TMEM144	 	175	0.00e+00	1.7349e-02	5.0857e-01	1	52
JOSD1	 	184	0.00e+00	1.8233e-02	5.3202e-01	1	100
SLC17A8	 	190	0.00e+00	1.8822e-02	5.4669e-01	1	36
PGR	 	191	0.00e+00	1.8920e-02	5.4703e-01	1	81
PRPSAP1	 	193	0.00e+00	1.9116e-02	5.5019e-01	1	108
DUS2	 	194	0.00e+00	1.9214e-02	5.5051e-01	1	4
ELMOD1	 	198	0.00e+00	1.9606e-02	5.5922e-01	1	33
EPS15	 	198	0.00e+00	1.9606e-02	5.5671e-01	1	62
EFCAB7	 	199	0.00e+00	1.9704e-02	5.5700e-01	1	164
ATP6V1B2	 	200	0.00e+00	1.9802e-02	5.5728e-01	1	175
MANEA	 	203	0.00e+00	2.0096e-02	5.6305e-01	1	29
NUCB2	 	203	0.00e+00	2.0096e-02	5.6057e-01	1	2
RMND1	 	204	0.00e+00	2.0194e-02	5.6084e-01	1	45
SERPINI2	 	205	0.00e+00	2.0292e-02	5.6110e-01	1	150
SLC39A8	 	205	0.00e+00	2.0292e-02	5.5866e-01	1	190
GCM1	 	205	0.00e+00	2.0292e-02	5.5624e-01	1	195
SUSD4	 	206	0.00e+00	2.0390e-02	5.5651e-01	1	21
KCNAB1	 	206	0.00e+00	2.0390e-02	5.5413e-01	1	63
EIF2B3	 	207	0.00e+00	2.0488e-02	5.5441e-01	1	64
LUM	 	210	0.00e+00	2.0782e-02	5.5997e-01	1	6
PEX13	 	212	0.00e+00	2.0978e-02	5.6285e-01	1	92
PPP4R2	 	213	0.00e+00	2.1076e-02	5.6309e-01	1	151
BAMBI	 	216	0.00e+00	2.1369e-02	5.6854e-01	1	97
SLC44A5	 	217	0.00e+00	2.1467e-02	5.6875e-01	1	182
FOXO1	 	220	0.00e+00	2.1761e-02	5.7412e-01	1	133
DGKZ	 	222	0.00e+00	2.1956e-02	5.7688e-01	1	183
TBX19	 	222	0.00e+00	2.1956e-02	5.7450e-01	1	206
LGI2	 	223	0.00e+00	2.2054e-02	5.7468e-01	1	129
ATG14	 	224	0.00e+00	2.2152e-02	5.7486e-01	1	29
RIMKLA	 	225	0.00e+00	2.2250e-02	5.7505e-01	1	12
PRCC	 	227	0.00e+00	2.2445e-02	5.7774e-01	1	95
TM6SF1	 	227	0.00e+00	2.2445e-02	5.7540e-01	1	26
POLG	 	230	0.00e+00	2.2739e-02	5.8057e-01	1	135
NEFH	 	231	0.00e+00	2.2836e-02	5.8072e-01	1	196
C17orf75	 	232	0.00e+00	2.2934e-02	5.8087e-01	1	128
KATNAL1	 	232	0.00e+00	2.2934e-02	5.7856e-01	1	153
PLIN1	 	234	0.00e+00	2.3129e-02	5.8117e-01	1	88
REPS2	 	234	0.00e+00	2.3129e-02	5.7888e-01	1	162
ANKMY2	 	236	0.00e+00	2.3325e-02	5.8147e-01	1	62
PARP6	 	237	0.00e+00	2.3423e-02	5.8161e-01	1	90
PARPBP	 	239	0.00e+00	2.3618e-02	5.8417e-01	1	205
CCKAR	 	246	0.00e+00	2.4301e-02	5.9873e-01	1	31
SPG20	 	248	0.00e+00	2.4496e-02	6.0120e-01	1	6
C14orf39	 	250	0.00e+00	2.4691e-02	6.0365e-01	1	217
HYAL4	 	250	0.00e+00	2.4691e-02	6.0133e-01	1	216
ZNF507	 	252	0.00e+00	2.4886e-02	6.0376e-01	1	8
MAT2B	*	254	0.00e+00	2.5081e-02	6.0617e-01	1	21
PACSIN3	 	255	0.00e+00	2.5179e-02	6.0621e-01	1	117
TOE1	 	258	0.00e+00	2.5471e-02	6.1092e-01	1	257
TARS2	 	258	0.00e+00	2.5471e-02	6.0862e-01	1	205
TINAG	 	260	0.00e+00	2.5666e-02	6.1097e-01	1	77
DLST	 	263	0.00e+00	2.5958e-02	6.1561e-01	1	165
FRMD7	 	265	0.00e+00	2.6153e-02	6.1792e-01	1	89
DGKB	 	266	0.00e+00	2.6251e-02	6.1791e-01	1	213
TUBE1	 	272	0.00e+00	2.6835e-02	6.2932e-01	1	127
SPTLC1	 	274	0.00e+00	2.7029e-02	6.3155e-01	1	137
SARS	 	275	0.00e+00	2.7127e-02	6.3149e-01	1	30
RASGRP1	 	278	0.00e+00	2.7418e-02	6.3595e-01	1	121
WDR63	 	281	0.00e+00	2.7710e-02	6.4037e-01	1	105
ZCCHC4	 	283	0.00e+00	2.7905e-02	6.4252e-01	1	30
SETD7	 	290	0.00e+00	2.8585e-02	6.5580e-01	1	167
CNGA3	 	290	0.00e+00	2.8585e-02	6.5343e-01	1	251
ZBTB25	 	290	0.00e+00	2.8585e-02	6.5108e-01	1	223
ENTPD4	 	293	0.00e+00	2.8876e-02	6.5536e-01	1	272
SACM1L	 	294	0.00e+00	2.8973e-02	6.5521e-01	1	102
CPA6	 	295	0.00e+00	2.9071e-02	6.5507e-01	1	24
DAB2	 	296	0.00e+00	2.9168e-02	6.5493e-01	1	292
ERP44	 	298	0.00e+00	2.9362e-02	6.5696e-01	1	141
TOX3	 	298	0.00e+00	2.9362e-02	6.5464e-01	1	168
TBC1D14	 	300	0.00e+00	2.9556e-02	6.5666e-01	1	68
ZC3H6	 	301	0.00e+00	2.9653e-02	6.5651e-01	1	238
FAM13C	 	302	0.00e+00	2.9750e-02	6.5637e-01	1	199
LTF	 	304	0.00e+00	2.9944e-02	6.5835e-01	1	117
CEPT1	 	305	0.00e+00	3.0041e-02	6.5820e-01	1	182
GCNT1	 	305	0.00e+00	3.0041e-02	6.5593e-01	1	197
DDIAS	 	306	0.00e+00	3.0138e-02	6.5579e-01	1	88
NEK10	 	306	0.00e+00	3.0138e-02	6.5354e-01	1	20
SLC35D3	 	307	0.00e+00	3.0235e-02	6.5341e-01	1	112
DYRK3	 	307	0.00e+00	3.0235e-02	6.5118e-01	1	288
MTSS1	 	310	0.00e+00	3.0526e-02	6.5522e-01	1	285
MBTPS2	 	312	0.00e+00	3.0720e-02	6.5715e-01	1	295
SNX4	 	313	0.00e+00	3.0817e-02	6.5701e-01	1	63
STAU1	 	314	0.00e+00	3.0914e-02	6.5686e-01	1	124
EHHADH	 	314	0.00e+00	3.0914e-02	6.5467e-01	1	196
TGFBR3	*	316	0.00e+00	3.1107e-02	6.5657e-01	1	132
NCAM1	 	316	0.00e+00	3.1107e-02	6.5439e-01	1	190
IL1RAP	 	319	0.00e+00	3.1398e-02	6.5832e-01	1	228
TSHZ3	 	321	0.00e+00	3.1592e-02	6.6020e-01	1	194
UEVLD	 	332	0.00e+00	3.2657e-02	6.8020e-01	1	251
SLC35B3	 	333	0.00e+00	3.2753e-02	6.7998e-01	1	69
ARHGEF11	 	334	0.00e+00	3.2850e-02	6.7976e-01	1	165
EPB41L2	 	334	0.00e+00	3.2850e-02	6.7754e-01	1	274
PGAP1	 	338	0.00e+00	3.3237e-02	6.8330e-01	1	262
BROX	 	340	0.00e+00	3.3430e-02	6.8505e-01	1	260
ARMC4	 	340	0.00e+00	3.3430e-02	6.8284e-01	1	111
MICU1	 	345	0.00e+00	3.3913e-02	6.9048e-01	1	84
NLN	 	345	0.00e+00	3.3913e-02	6.8827e-01	1	187
ELK4	 	347	0.00e+00	3.4107e-02	6.8998e-01	1	329
SLCO4C1	 	347	0.00e+00	3.4107e-02	6.8778e-01	1	89
DUSP27	 	349	0.00e+00	3.4300e-02	6.8948e-01	1	169
GPR176	 	351	0.00e+00	3.4493e-02	6.9117e-01	1	293
SUGP1	 	352	0.00e+00	3.4589e-02	6.9091e-01	1	157
RORA	 	354	0.00e+00	3.4782e-02	6.9259e-01	1	35
SLC19A2	 	358	0.00e+00	3.5168e-02	6.9808e-01	1	257
EEF2K	 	358	0.00e+00	3.5168e-02	6.9590e-01	1	27
ARHGEF2	 	358	0.00e+00	3.5168e-02	6.9373e-01	1	191
RSBN1	 	359	0.00e+00	3.5265e-02	6.9347e-01	1	267
FAM98A	 	360	0.00e+00	3.5361e-02	6.9322e-01	1	259
SLC6A1	 	362	0.00e+00	3.5554e-02	6.9485e-01	1	226
KLHL31	 	362	0.00e+00	3.5554e-02	6.9271e-01	1	295
PFAS	 	370	0.00e+00	3.6326e-02	7.0556e-01	1	176
FYB	 	371	0.00e+00	3.6422e-02	7.0527e-01	1	323
CPT1A	 	371	0.00e+00	3.6422e-02	7.0312e-01	1	348
PSMD5	 	371	0.00e+00	3.6422e-02	7.0099e-01	1	291
ZPLD1	 	373	0.00e+00	3.6615e-02	7.0256e-01	1	2
RIC8B	 	376	0.00e+00	3.6904e-02	7.0596e-01	1	32
RASGEF1B	 	376	0.00e+00	3.6904e-02	7.0384e-01	1	286
EML1	 	380	0.00e+00	3.7289e-02	7.0905e-01	1	338
PCSK5	 	381	0.00e+00	3.7385e-02	7.0875e-01	1	364
TC2N	 	382	0.00e+00	3.7481e-02	7.0845e-01	1	196
B3GALT2	 	384	0.00e+00	3.7674e-02	7.0997e-01	1	102
FRMPD1	 	384	0.00e+00	3.7674e-02	7.0787e-01	1	337
DEPDC5	 	389	0.00e+00	3.8155e-02	7.1479e-01	1	165
SETD3	 	396	0.00e+00	3.8828e-02	7.2525e-01	1	377
SIDT1	 	401	0.00e+00	3.9309e-02	7.3206e-01	1	279
C1orf112	 	401	0.00e+00	3.9309e-02	7.2992e-01	1	195
GLTSCR1L	 	406	0.00e+00	3.9789e-02	7.3667e-01	1	186
ALK	 	408	0.00e+00	3.9981e-02	7.3807e-01	1	353
IFT88	 	411	0.00e+00	4.0269e-02	7.4123e-01	1	362
C9orf72	 	412	0.00e+00	4.0365e-02	7.4084e-01	1	145
WWC2	 	413	0.00e+00	4.0461e-02	7.4046e-01	1	10
ABCD3	 	413	0.00e+00	4.0461e-02	7.3832e-01	1	168
CCDC18	 	414	0.00e+00	4.0557e-02	7.3795e-01	1	154
MFN1	 	415	0.00e+00	4.0653e-02	7.3757e-01	1	328
PPP1R10	 	416	0.00e+00	4.0749e-02	7.3720e-01	1	124
DPY19L1	 	418	0.00e+00	4.0940e-02	7.3856e-01	1	8
PPP1R13B	 	418	0.00e+00	4.0940e-02	7.3646e-01	1	83
NSMAF	 	419	0.00e+00	4.1036e-02	7.3610e-01	1	44
E2F7	 	423	0.00e+00	4.1420e-02	7.4088e-01	1	419
